,Accession,Submitters,Species,Geo_Location,Isolation_Source,Collection_Date,date,dayofyear,week,lat,long,lengthofday
0,NC_001802,"Martoglio,B., Graf,R., Dobberstein,B., Petropoulos,C.J., Chappey,C.",Human immunodeficiency virus 1,,,,,,,46.3144754,11.0480288,
1,MZ159978,"Zhu,G.",Human immunodeficiency virus 1,China,,2018,2018-01-01,1.0,1,35.000074,104.999927,10.774427715210706
2,MZ159979,"Zhu,G.",Human immunodeficiency virus 1,China,,2018,2018-01-01,1.0,1,35.000074,104.999927,10.774427715210706
3,MZ076687,"Zhu,B.",Human immunodeficiency virus 1,China,,2014-03-18,2014-03-18,77.0,12,35.000074,104.999927,12.782077919085328
4,MZ076688,"Zhu,B.",Human immunodeficiency virus 1,China,,2014-08-04,2014-08-04,216.0,32,35.000074,104.999927,14.766032607614592
5,MZ076689,"Zhu,B.",Human immunodeficiency virus 1,China,,2015-06-11,2015-06-11,162.0,24,35.000074,104.999927,15.445210670229143
6,MW693026,"Lan,Y., Cai,W., Hu,F., Li,L., Cai,X.",Human immunodeficiency virus 1,China,,2018,2018-01-01,1.0,1,35.000074,104.999927,10.774427715210706
7,MW693027,"Lan,Y., Cai,W., Hu,F., Li,L., Cai,X.",Human immunodeficiency virus 1,China,,2018,2018-01-01,1.0,1,35.000074,104.999927,10.774427715210706
8,OM025084,"Xing,Y., Wang,L., Li,Y., Wang,Y., Han,L., Huang,G., Han,J., Zhang,W., Jia,L., Liu,Y., Wang,X., Li,T., Li,J., Yang,L., Qu,X., Dai,E., Li,H., Li,L., Ying,X.",Human immunodeficiency virus 1,China,,2020,2020-01-01,1.0,1,35.000074,104.999927,10.774427715210706
9,OM025085,"Xing,Y., Wang,L., Li,Y., Wang,Y., Han,L., Huang,G., Han,J., Zhang,W., Jia,L., Liu,Y., Wang,X., Li,T., Li,J., Yang,L., Qu,X., Dai,E., Li,H., Li,L., Ying,X.",Human immunodeficiency virus 1,China,,2020,2020-01-01,1.0,1,35.000074,104.999927,10.774427715210706
10,OM025086,"Xing,Y., Wang,L., Li,Y., Wang,Y., Han,L., Huang,G., Han,J., Zhang,W., Jia,L., Liu,Y., Wang,X., Li,T., Li,J., Yang,L., Qu,X., Dai,E., Li,H., Li,L., Ying,X.",Human immunodeficiency virus 1,China,,2020,2020-01-01,1.0,1,35.000074,104.999927,10.774427715210706
11,OL982312,"Canada,J.E., Delgado,E., Gil,H., Benito,S., Sanchez,M., Ocampo,A., Perez-Castro,S., Miralles,C., Garcia-Bodas,E., Marino,A., Ordonez,P., Gude,M.J., Ezpeleta,C., Thomson,M.M., Canada,J., Thomson,M.",Human immunodeficiency virus 1,Spain,blood,2011,2011-01-01,1.0,52,39.3260685,-4.8379791,10.443705752392082
12,OL982314,"Canada,J.E., Delgado,E., Gil,H., Benito,S., Sanchez,M., Ocampo,A., Perez-Castro,S., Miralles,C., Garcia-Bodas,E., Marino,A., Ordonez,P., Gude,M.J., Ezpeleta,C., Thomson,M.M., Canada,J., Thomson,M.",Human immunodeficiency virus 1,Spain,blood,2018,2018-01-01,1.0,1,39.3260685,-4.8379791,10.443705752392082
13,OL982321,"Canada,J.E., Delgado,E., Gil,H., Benito,S., Sanchez,M., Ocampo,A., Perez-Castro,S., Miralles,C., Garcia-Bodas,E., Marino,A., Ordonez,P., Gude,M.J., Ezpeleta,C., Thomson,M.M., Canada,J., Thomson,M.",Human immunodeficiency virus 1,Spain,blood,2012,2012-01-01,1.0,52,39.3260685,-4.8379791,10.443705752392082
14,OM974704,"Zhang,X.",Human immunodeficiency virus 1,,,,,,,46.3144754,11.0480288,
15,MZ868394,"Joseph,K.W., Joseph,K.",Human immunodeficiency virus 1,USA,,,,,,39.7837304,-100.445882,
16,MZ868395,"Joseph,K.W., Joseph,K.",Human immunodeficiency virus 1,USA,,,,,,39.7837304,-100.445882,
17,MZ868397,"Joseph,K.W., Joseph,K.",Human immunodeficiency virus 1,USA,,,,,,39.7837304,-100.445882,
18,MZ868402,"Joseph,K.W., Joseph,K.",Human immunodeficiency virus 1,USA,,,,,,39.7837304,-100.445882,
19,MZ868413,"Joseph,K.W., Joseph,K.",Human immunodeficiency virus 1,USA,,,,,,39.7837304,-100.445882,
